populationID,plantID,fruitID,ripening,aspect,diam_mm,length_mm,totalMass_g,peelMass_g,pulpseedMass_g,sugar_brix,Nseeds,MassSampleseeds,NseedsSample,larvae,xSeedMass_g,pulpMass_g,pulpseedRatio,,,,,,
Carlos_Pellegrini,CP10,1,orange,whole,38.92,42.20,14.63,8.93,5.52,18.75,188,0.033,5,0,1.241,4.2822,3.451,,,,,,
Carlos_Pellegrini,CP10,2,green,whole,24.07,29.47,5.38,3.93,1.39,11.50,47,0.029,5,0,0.273,1.115,4.092,,,,,,
Carlos_Pellegrini,CP10,3,green,whole,31.76,36.44,9.80,8.19,1.25,NA,NA,NA,NA,0,NA,NA,NA,,,,,,
Carlos_Pellegrini,CP10,4,green,whole,37.02,35.25,12.47,10.01,2.28,9.50,172,0.022,5,0,0.757,1.518,2.006,,,,,,
Carlos_Pellegrini,CP11,1,orange,whole,35.66,39.97,13.28,7.35,5.83,16.50,211,0.020,5,0,0.844,4.981,5.902,,,,,,
Carlos_Pellegrini,CP11,2,orange,whole,34.11,35.52,11.42,5.70,5.58,16.50,182,0.026,5,0,0.946,4.636,4.898,,,,,,
Carlos_Pellegrini,CP11,3,orange,little_pecked,36.27,NA,2.39,2.39,NA,NA,NA,NA,NA,0,NA,NA,NA,,,,,,
Carlos_Pellegrini,CP12,1,orange,little_pecked,35.69,NA,2.59,2.59,NA,NA,NA,NA,NA,0,NA,NA,NA,,,,,,
Carlos_Pellegrini,CP12,2,green_orange,whole,36.70,44.13,17.42,8.00,8.78,11.50,285,0.036,5,0,2.052,6.732,3.281,,,,,,
Carlos_Pellegrini,CP12,3,green_orange,whole,40.10,46.76,20.67,9.48,10.88,12.50,338,0.035,5,0,2.366,8.511,3.597,,,,,,
Carlos_Pellegrini,CP15,1,orange,whole,40.31,46.64,15.18,10.11,4.94,16.00,150,0.039,5,0,1.170,3.767,3.220,,,,,,
Carlos_Pellegrini,CP15,2,green,whole,35.66,46.12,17.00,11.86,4.95,9.25,152,0.036,5,0,1.094,3.860,3.527,,,,,,
Carlos_Pellegrini,CP15,3,orange,whole,49.79,49.33,15.78,9.73,5.96,14.50,165,0.034,5,0,1.122,4.834,4.308,,,,,,
Carlos_Pellegrini,CP15,4,green,whole,37.33,48.55,17.80,10.90,6.42,11.00,179,0.035,5,0,1.253,5.170,4.126,,,,,,
Carlos_Pellegrini,CP15,5,orange,whole,35.84,41.09,11.13,6.94,4.01,7.50,156,0.036,5,0,1.123,2.885,2.568,,,,,,
Carlos_Pellegrini,CP16,1,orange,little_pecked,34.89,NA,5.25,5.25,NA,NA,NA,NA,NA,0,NA,NA,NA,,,,,,
Carlos_Pellegrini,CP17,1,orange,little_pecked,36.04,NA,15.20,8.19,6.88,14.25,178,0.031,5,0,1.104,5.773,5.231,,,,,,
Carlos_Pellegrini,CP18,1,orange,little_pecked,35.50,NA,4.50,4.50,NA,NA,NA,NA,NA,0,NA,NA,NA,,,,,,
Carlos_Pellegrini,CP19,1,orange,little_pecked,45.96,NA,9.33,8.72,0.52,8.25,15,0.033,5,0,0.099,0.424,4.283,,,,,,
Carlos_Pellegrini,CP19,2,orange,little_pecked,39.53,NA,6.69,6.35,0.28,NA,11,0.029,5,0,0.064,0.220,3.451,,,,,,
Carlos_Pellegrini,CP19,3,green_orange,whole,36.58,49.45,17.24,10.55,6.24,15.00,166,0.034,5,0,1.129,5.109,4.526,,,,,,
Carlos_Pellegrini,CP19,4,orange,highly_pecked,40.74,NA,6.53,6.53,NA,NA,NA,NA,NA,0,NA,NA,NA,,,,,,
Carlos_Pellegrini,CP19,5,orange,little_pecked,32.92,NA,4.57,4.57,NA,NA,NA,NA,NA,0,NA,NA,NA,,,,,,
Carlos_Pellegrini,CP2,1,orange,whole,41.26,40.86,14.61,10.37,3.99,18.25,120,0.036,5,1,0.864,3.126,3.618,,,,,,
Carlos_Pellegrini,CP2,2,orange,whole,31.83,37.20,8.73,5.92,2.50,18.50,69,0.038,5,0,0.524,1.975,3.765,,,,,,
Carlos_Pellegrini,CP2,3,orange,whole,40.45,43.52,15.68,11.19,4.24,18.25,123,0.032,5,0,0.787,3.454,4.387,,,,,,
Carlos_Pellegrini,CP2,4,green,whole,39.61,40.95,15.97,11.38,4.41,16.50,111,0.037,5,0,0.821,3.589,4.369,,,,,,
Carlos_Pellegrini,CP2,5,orange,whole,41.21,42.02,17.51,12.85,4.41,17.20,129,0.032,5,0,0.826,3.583,4.340,,,,,,
Carlos_Pellegrini,CP20,2,green,whole,42.47,38.52,23.40,15.02,7.99,7.75,275,0.029,5,0,1.595,6.391,4.007,,,,,,
Carlos_Pellegrini,CP20,3,orange,whole,35.67,40.38,13.19,6.82,6.22,14.25,216,0.027,5,0,1.166,5.050,4.329,,,,,,
Carlos_Pellegrini,CP20,4,green,whole,36.42,43.71,17.86,11.59,5.93,9.00,185,0.032,5,0,1.184,4.749,4.011,,,,,,
Carlos_Pellegrini,CP20,5,orange,little_pecked,38.69,NA,5.91,5.91,NA,NA,NA,NA,NA,0,NA,NA,NA,,,,,,
Carlos_Pellegrini,CP20,6,orange,little_pecked,39.02,NA,7.18,7.18,NA,NA,NA,NA,NA,0,NA,NA,NA,,,,,,
Carlos_Pellegrini,CP4,1,orange,whole,38.43,40.67,5.65,5.65,NA,NA,NA,NA,NA,0,NA,NA,NA,,,,,,
Carlos_Pellegrini,CP4,2,orange,whole,31.88,36.01,5.52,5.52,NA,NA,NA,NA,NA,0,NA,NA,NA,,,,,,
