populationID,plantID,longitude,latitude,xDiam,xNseeds,xSugar,plantHeight,plantLength,dab,support,orange_fruits,green_fruits,pecked_fruits,fruit_crop,visits
Carlos_Pellegrini,CP10,-57.16817102,-28.53498403,32.94,135.67,13.25,2,6.5,3.08,Schinus_longifolius,18,5,15,33,0
Carlos_Pellegrini,CP11,-57.166009,-28.535641,35.35,196.5,16.5,1.8,2.5,7.31,Acacia_furcatispina,14,0,11,25,0
Carlos_Pellegrini,CP12,-57.16515496,-28.534102,37.5,311.5,12,3,1,3.33,Celtis_tala,4,4,4,8,0
Carlos_Pellegrini,CP14,-57.16863203,-28.53566196,NA,NA,NA,4,1.25,6.6,Acacia_furcatispina,6,0,6,12,0
Carlos_Pellegrini,CP15,-57.16936997,-28.53761896,39.79,160.4,11.65,1.7,4.25,6.13,wire_fence,6,18,6,12,1
Carlos_Pellegrini,CP16,-57.17049901,-28.53987697,34.89,NA,NA,2,1.5,3.82,wire_fence,1,0,1,2,2
Carlos_Pellegrini,CP17,-57.16982603,-28.53825901,36.04,178,14.25,2,2.2,3.66,wire_fence,2,0,2,4,0
Carlos_Pellegrini,CP18,-57.16992301,-28.53823797,35.5,NA,NA,2.25,2.25,4.37,wire_fence,1,0,1,2,0
Carlos_Pellegrini,CP19,-57.17346202,-28.53314202,39.15,64,11.63,1.75,2,2.69,wire_fence,7,1,7,14,0
Carlos_Pellegrini,CP2,-57.16947198,-28.53976004,38.87,110.4,17.74,3.5,2.5,3.95,Hexachlamys_edulis,8,5,7,15,1
Carlos_Pellegrini,CP20,-57.173143,-28.53213703,38.45,225.33,10.33,1.6,2.25,3.15,wire_fence,18,4,18,36,0
Carlos_Pellegrini,CP4,-57.17550603,-28.53541503,35.16,NA,NA,1.1,5.5,7.14,wire_fence,6,0,6,12,0
Carlos_Pellegrini,CP5,-57.16796902,-28.53767202,35.78,135.8,11.4,1,4.75,6.77,wire_fence,9,2,6,15,0
Carlos_Pellegrini,CP6,-57.16791102,-28.53749198,39.36,136.5,14.19,4,5.75,6.42,wire_fence,6,6,6,12,0
Carlos_Pellegrini,CP7,-57.16710803,-28.53787,32.08,84.33,8.75,2.5,5.25,2.22,Acacia_caven,11,8,11,22,0
Carlos_Pellegrini,CP8,-57.16671299,-28.53800797,34.69,234,6.5,4,1.8,NA,Scutia_buxifolia,1,3,1,2,0
Carlos_Pellegrini,CP9,-57.17018,-28.53441196,38.12,313.67,10.08,2.25,4.8,12.61,wire_fence,11,11,11,22,1
El_Carmen,PCJ1,-65.342236,-24.364211,34.86,144,18.33,3,5,14.28,wire_fence,2,8,2,4,0
El_Carmen,PCJ12,-65.407236,-24.282165,27.39,136.4,9.5,1.9,8,8.83,wire_fence,3,7,2,5,0
El_Carmen,PCJ13,-65.407127,-24.281957,32.13,194,8.38,2.2,8.9,18.23,wire_fence,10,25,3,13,0
El_Carmen,PCJ14,-65.352099,-24.350278,33.82,86.67,15.42,2.5,10.1,20.6,wire_fence,1,3,2,3,0
El_Carmen,PCJ2,-65.26592,-24.388586,45.55,215,12.13,4,5.9,9.28,wall,1,5,2,3,0
El_Carmen,PCJ28,-65.335849,-24.367704,45.43,250,8.33,2.5,6.4,9.5,vine,1,17,3,4,0
El_Carmen,PCJ37,-65.328866,-24.371349,38.09,205.5,10,6,6.23,36.16,Melia_azedarach,9,27,3,12,0
El_Carmen,PCJ38,-65.376137,-24.326306,NA,140.25,16.06,1.5,10.2,8.07,wire_fence,0,3,13,13,0
El_Carmen,PCJ39,-65.36558,-24.336925,31.38,98.67,12.25,5,10.1,24.33,wire_fence,0,8,0,0,0
El_Carmen,PCJ4,-65.26375,-24.83712,38.42,147,6.95,4.5,6.5,16.82,Pinus_sp,15,26,1,16,0
El_Carmen,PCJ40,-65.262706,-24.391381,34.11,200.8,19.9,2,4.9,8.94,wire_fence,28,14,5,33,0
El_Carmen,EC47,-65.189429,-24.427761,NA,NA,NA,2.2,17.5,32.42,wire_fence,43,85,18,61,0
El_Carmen,PCJ44,NA,NA,35.17,92.4,17.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
El_Carmen,PCJ47,NA,NA,37.4,104,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
