species	CP2	CP4	CP5	CP6	CP7	CP8	CP9	CP10	CP11	CP12	CP14	CP15	CP16	CP17	CP18	CP19	CP20
chlluc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
corcuc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mimsat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
myimon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
parcor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pasdom	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pipbon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pitsul	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trhsay	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0
turruf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
turama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tyrmel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tyrsav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
salaur	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
salcoe	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zoncap	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
