species	EC11	EC12	EC13	EC14	EC2	EC28	EC37	EC38	EC39_EC63	EC4	EC40	EC47	EC49	EC51	EC53	EC63	EC66
chlluc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
corcuc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mimsat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
myimon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
parcor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pasdom	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pipbon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pitsul	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
trhsay	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0
turruf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
turama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tyrmel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tyrsav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
salaur	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
salcoe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zoncap	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
