species	ER10	ER11	ER13	ER19	ER2	ER20	ER21	ER22	ER23	ER26	ER3	ER32	ER36	ER37	ER4	ER44	ER45-ER46	ER46	ER6-ER10	ER7
chlluc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
corcuc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mimsat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
myimon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
parcor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pasdom	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pipbon	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
pitsul	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
trhsay	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
turruf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
turama	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tyrmel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tyrsav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
salaur	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
salcoe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zoncap	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
