"","SM","CP","LZ","LP","MG","EC","ER","TU","SF","RA"
"SM",0,2.51274124375672,2.50624835257958,2.49592131054693,2.50673344440012,2.50624835257958,2.50624835257958,2.50624835257958,2.43461141814612,2.48954835616401
"CP",2.51274124375672,0,2.51274124375672,2.50053991229493,2.51143173885536,2.51274124375672,2.51274124375672,2.51274124375672,2.46659470048075,2.51153240711866
"LZ",2.50624835257958,2.51274124375672,0,2.49592131054693,2.50673344440012,2.50624835257958,2.50624835257958,2.50624835257958,2.43461141814612,2.48954835616401
"LP",2.49592131054693,2.50053991229493,2.49592131054693,0,2.49255200982448,2.49592131054693,2.49592131054693,2.49592131054693,2.48775907216702,2.51761280553313
"MG",2.50673344440012,2.51143173885536,2.50673344440012,2.49255200982448,0,2.50673344440012,2.50673344440012,2.50673344440012,2.50069345178553,2.53341916576465
"EC",2.50624835257958,2.51274124375672,2.50624835257958,2.49592131054693,2.50673344440012,0,2.50624835257958,2.50624835257958,2.43461141814612,2.48954835616401
"ER",2.50624835257958,2.51274124375672,2.50624835257958,2.49592131054693,2.50673344440012,2.50624835257958,0,2.50624835257958,2.43461141814612,2.48954835616401
"TU",2.50624835257958,2.51274124375672,2.50624835257958,2.49592131054693,2.50673344440012,2.50624835257958,2.50624835257958,0,2.43461141814612,2.48954835616401
"SF",2.43461141814612,2.46659470048075,2.43461141814612,2.48775907216702,2.50069345178553,2.43461141814612,2.43461141814612,2.43461141814612,0,1.62136949164785
"RA",2.48954835616401,2.51153240711866,2.48954835616401,2.51761280553313,2.53341916576465,2.48954835616401,2.48954835616401,2.48954835616401,1.62136949164785,0
