"","SM","CP","LZ","LP","MG","EC","ER","TU","SF","RA"
"SM",0,1.03660497800519,2.40695871867184,1.97208472815406,3.09661574501835,1.33358700476851,1.86487030485001,1.12280967127876,2.20137120140542,3.65767038552188
"CP",1.03660497800519,0,2.1173488956375,1.67993051870089,2.90075279804388,0.848099374707718,1.552781612852,0.530358786800509,2.00617707883774,3.52461757369906
"LZ",2.40695871867184,2.1173488956375,0,2.79728442226744,3.19624705290185,2.19623676637432,2.74142956894822,2.17064813414194,2.10365921216895,3.39663450538481
"LP",1.97208472815406,1.67993051870089,2.79728442226744,0,3.02350476154511,1.92678912775905,2.06878855416824,1.72554004850444,2.60587346148181,3.5243089856991
"MG",3.09661574501835,2.90075279804388,3.19624705290185,3.02350476154511,0,2.9586690943064,2.91357389721947,2.91346707495575,3.02688416019125,3.38630212489673
"EC",1.33358700476851,0.848099374707718,2.19623676637432,1.92678912775905,2.9586690943064,0,1.79241048004564,0.932451229697093,2.01407262802781,3.50079682636996
"ER",1.86487030485001,1.552781612852,2.74142956894822,2.06878855416824,2.91357389721947,1.79241048004564,0,1.59344409877152,2.52244160780356,3.47287476932226
"TU",1.12280967127876,0.530358786800509,2.17064813414194,1.72554004850444,2.91346707495575,0.932451229697093,1.59344409877152,0,2.05640711840005,3.53137427262069
"SF",2.20137120140542,2.00617707883774,2.10365921216895,2.60587346148181,3.02688416019125,2.01407262802781,2.52244160780356,2.05640711840005,0,3.27812411601885
"RA",3.65767038552188,3.52461757369906,3.39663450538481,3.5243089856991,3.38630212489673,3.50079682636996,3.47287476932226,3.53137427262069,3.27812411601885,0
