"","SM","CP","LZ","LP","MG","EC","ER","TU","SF","RA"
"SM",0,0.396904513034394,0.436125750418691,0.480671238452662,0.54454978334699,0.443154448284625,0.446944197947582,0.439251103475758,0.415854377300048,0.380214157527006
"CP",0.396904513034394,0,0.268163046083065,0.368483561452289,0.402010987115133,0.273025311884268,0.278881090024156,0.250050753127733,0.296670746327483,0.225226890834894
"LZ",0.436125750418691,0.268163046083065,0,0.42205354803328,0.470744121389338,0.311948316439726,0.331671708356655,0.290514598228992,0.338431046014655,0.294997213103503
"LP",0.480671238452662,0.368483561452289,0.42205354803328,0,0.482847376294962,0.435076377344702,0.41241739056596,0.427027497403344,0.408902402860245,0.321453894733954
"MG",0.54454978334699,0.402010987115133,0.470744121389338,0.482847376294962,0,0.508737253661146,0.442332270983105,0.490649626810969,0.495658619698544,0.315882881236755
"EC",0.443154448284625,0.273025311884268,0.311948316439726,0.435076377344702,0.508737253661146,0,0.336820495047728,0.262225275587907,0.302919843071753,0.335195379755869
"ER",0.446944197947582,0.278881090024156,0.331671708356655,0.41241739056596,0.442332270983105,0.336820495047728,0,0.316810230052052,0.350883101087148,0.270683933657225
"TU",0.439251103475758,0.250050753127733,0.290514598228992,0.427027497403344,0.490649626810969,0.262225275587907,0.316810230052052,0,0.304320141426646,0.315533121990478
"SF",0.415854377300048,0.296670746327483,0.338431046014655,0.408902402860245,0.495658619698544,0.302919843071753,0.350883101087148,0.304320141426646,0,0.326702065723617
"RA",0.380214157527006,0.225226890834894,0.294997213103503,0.321453894733954,0.315882881236755,0.335195379755869,0.270683933657225,0.315533121990478,0.326702065723617,0
