"","SM","CP","LZ","LP","MG","EC","ER","TU","SF","RA"
"SM",0,0.281039687218997,0.275363778508919,0.441070529728083,0.32578159671642,0.270684913433204,0.0282547906134863,0.314375546097223,0.125436402327523,0.588849311958191
"CP",0.281039687218997,0,0.00567590871007748,0.72211021694708,0.606821283935417,0.0103547737857931,0.309294477832483,0.0333358588782263,0.155603284891474,0.869888999177188
"LZ",0.275363778508919,0.00567590871007748,0,0.716434308237002,0.60114537522534,0.00467886507571558,0.303618569122406,0.0390117675883038,0.149927376181397,0.864213090467111
"LP",0.441070529728083,0.72211021694708,0.716434308237002,0,0.115288933011663,0.711755443161287,0.412815739114597,0.755446075825306,0.566506932055606,0.147778782230109
"MG",0.32578159671642,0.606821283935417,0.60114537522534,0.115288933011663,0,0.596466510149624,0.297526806102934,0.640157142813643,0.451217999043943,0.263067715241771
"EC",0.270684913433204,0.0103547737857931,0.00467886507571558,0.711755443161287,0.596466510149624,0,0.29893970404669,0.0436906326640194,0.145248511105681,0.859534225391395
"ER",0.0282547906134863,0.309294477832483,0.303618569122406,0.412815739114597,0.297526806102934,0.29893970404669,0,0.34263033671071,0.153691192941009,0.560594521344705
"TU",0.314375546097223,0.0333358588782263,0.0390117675883038,0.755446075825306,0.640157142813643,0.0436906326640194,0.34263033671071,0,0.1889391437697,0.903224858055415
"SF",0.125436402327523,0.155603284891474,0.149927376181397,0.566506932055606,0.451217999043943,0.145248511105681,0.153691192941009,0.1889391437697,0,0.714285714285714
"RA",0.588849311958191,0.869888999177188,0.864213090467111,0.147778782230109,0.263067715241771,0.859534225391395,0.560594521344705,0.903224858055415,0.714285714285714,0
