"","CP","EC","ER","LP","LZ","MG","RA","SF","SM","TU"
"CP",1,0.989161931014779,0.972694180119364,0.999837997561146,0.994532719504508,0.969566814945685,0.989791982092678,0.987244320114921,0.995475969426875,0.396739858026661
"EC",0.989161931014779,1,0.928074491444908,0.9863588544838,0.9990865575178,0.995006198400891,0.999990517178933,0.953167514958634,0.970736198722943,0.257661313362453
"ER",0.972694180119364,0.928074491444908,1,0.976714093766968,0.943140031453331,0.886269993036246,0.929687448950649,0.997238547662616,0.990345454690629,0.598949699278646
"LP",0.999837997561146,0.9863588544838,0.976714093766968,1,0.992492007070421,0.965003004592312,0.987066365433843,0.989950116451024,0.997024889255145,0.413197799984225
"LZ",0.994532719504508,0.9990865575178,0.943140031453331,0.992492007070421,1,0.989832070637413,0.999263180262935,0.965220934605128,0.980111581755661,0.29871542382695
"MG",0.969566814945685,0.995006198400891,0.886269993036246,0.965003004592312,0.989832070637413,1,0.994562082079891,0.91821980979442,0.941918570667261,0.159931614212683
"RA",0.989791982092678,0.999990517178933,0.929687448950649,0.987066365433843,0.999263180262935,0.994562082079891,1,0.954475598514842,0.971772826456358,0.261866772272331
"SF",0.987244320114921,0.953167514958634,0.997238547662616,0.989950116451024,0.965220934605128,0.91821980979442,0.954475598514842,1,0.997905367508359,0.537825367937665
"SM",0.995475969426875,0.970736198722943,0.990345454690629,0.997024889255145,0.980111581755661,0.941918570667261,0.971772826456358,0.997905367508359,1,0.482160980973904
"TU",0.396739858026661,0.257661313362453,0.598949699278646,0.413197799984225,0.29871542382695,0.159931614212683,0.261866772272331,0.537825367937665,0.482160980973904,1
