,agebad,bascul,cacsol,chlluc,corcuc,cyabri,cyachr,cycguj,elapar,eupchl,furruf,griaur,hylchr,ictpyr,mimsat,mimtri,molruf,myifas,myimac,myimon,pacpol,parcor,parpit,pasdom,patmac,patpic,pipbon,pitsul,pooery,poomel,ramtoc,salaur,salcoe,salsim,satict,stuvul,theacu,thrsay,turama,turchi,turruf,tyrmel,tyrsav,zoncap
SM,6.082222222,0.098518519,17.19925926,0.098518519,516.7866667,22.66962963,0.508148148,1.560740741,29.90814815,31.76962963,4.334814815,0.077777778,0.057037037,2.66,24.61407407,23.81555556,1.374074074,2.079259259,5.325185185,13.23777778,9.53037037,3.116296296,7.777777778,0,4.008148148,15.27555556,25.57333333,25.29851852,2.92962963,3.961481481,21.5237037,371.7622222,60.52666667,7.399259259,12.6362963,3.520740741,11.76518519,29.30148148,9.92962963,8.135555556,626.8992593,0.539259259,3.800740741,0.12962963
CP,6.936,0.007555556,6.276148148,0.030222222,2.868592593,11.19733333,0.224148148,22.43244444,38.99925926,15.01288889,0,0.216592593,0.035259259,2.115555556,6.792444444,14.69555556,0.805925926,1.269333333,5.361925926,12.36592593,8.029037037,8.371555556,8.467259259,0,0.554074074,4.289037037,10.34607407,13.2197037,2.201185185,1.54637037,7.87037037,54.97925926,881.8164444,6.223259259,8.678814815,5.533185185,8.48237037,790.3816296,89.19081481,6.412148148,43.72651852,0.868888889,1.135851852,1.035111111
LZ,23.10518519,0.106666667,4.512592593,0.035555556,6.373333333,50.81185185,0.24,10.30222222,18.69925926,21.29185185,0.788148148,0.068148148,0.139259259,1.285925926,17.80740741,17.18222222,8.281481481,5.351111111,8.66962963,242.5511111,9.481481481,1124.29037,1.659259259,0,1.176296296,3.65037037,17.14962963,9.751111111,9.437037037,2.34962963,16.24888889,186.957037,48.54518519,7.037037037,11.22666667,12.00296296,12.77333333,278.24,100.5214815,5.114074074,13.65925926,0.64,65.98518519,3.653333333
LP,0,0.14637037,20.41481481,0,19.46725926,28.45748148,0.58162963,0.805037037,3492.578074,53.6562963,0,0.030814815,0.219555556,6.775407407,873.8888889,29.82103704,8.608888889,4.240888889,2.969777778,20.64207407,326.0284444,0,13.97066667,0,2.800296296,527.8346667,1234.649481,4107.680296,19.64059259,7.229925926,31.72385185,40.61392593,40.96059259,23.53866667,26.208,18.45422222,39.85511111,43.43733333,375.4053333,27.79111111,2864.244741,227.656,4.510518519,0
MG,13.3042963,0.140148148,6.512,129.5588148,7.906962963,17.54459259,4.895407407,1.883851852,33.84088889,32.00918519,0,0.065185185,0.107555556,2.871407407,778.2068148,26.12948148,76.41985185,4.217481481,4.396740741,15.96711111,4.70962963,4.872592593,12.54162963,0,1.926222222,249.6722963,65.26014815,1242.700148,4.298962963,3.308148148,10.94785185,31.57896296,26.96059259,13.8322963,23.05274074,0.994074074,24.20651852,27.60266667,169.7422222,25.57214815,0,0.176,2.320592593,64.91792593
EC,18.8762963,0.037777778,9.172444444,142.0645926,4.231111111,6.253481481,0.440740741,1.518666667,16.42325926,34.26444444,0.002518519,0.01762963,0.327407407,1.737777778,12.45911111,12.36592593,0.828592593,9.454518519,2.626814815,7.087111111,5.44,1.339851852,1.95437037,0,0.931851852,7.177777778,33.89674074,48.53688889,1.972,1.657185185,14.28503704,81.03585185,12.17451852,4.50562963,8.570518519,1.669777778,8.633481481,1064.79437,5.999111111,4.092592593,112.0186667,0.433185185,4.566074074,151.917037
ER,10.74074074,0.044444444,4.45037037,0.216296296,11.86074074,7.641481481,0.302222222,0.482962963,13.17925926,13.24148148,0.091851852,0.047407407,0.053333333,1.277037037,6.026666667,14.99555556,1.765925926,2.145185185,11.56148148,3.324444444,5.484444444,1.282962963,26.81777778,0,1.401481481,14.39703704,155.3451852,500.8118519,26.73185185,3.386666667,9.564444444,58.77333333,9.454814815,8.856296296,24.66666667,4.728888889,36.02666667,427.3925926,11.43703704,20.5362963,21.58222222,0.219259259,1.795555556,4.245925926
TU,18.60711111,0.065185185,3.73837037,0.078222222,3.259259259,7.225777778,0.146666667,1.072296296,8.001481481,11.70074074,1.887111111,0.04237037,0.325925926,1.815407407,5.423407407,6.081777778,1.398222222,1.134222222,1.157037037,1.577481481,2.698666667,0.713777778,2.838814815,0,1.235259259,10.29925926,5.749333333,24.95288889,0.860444444,1.427555556,5.570074074,7.34637037,27.57659259,2.362962963,2.868148148,1.522074074,12.71762963,675.4325926,5.899259259,2.884444444,13.49659259,0.352,2.457481481,0.860444444
SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8
RA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,0
