"","SM","CP","LZ","LP","MG","EC","ER","TU","SF","RA"
"SM",0,0.911796091298021,0.8388546880776,0.771172366007813,0.913547420172905,0.820445203939057,0.81708643172016,0.891718864318927,0.769080480056971,0.867810367442272
"CP",0.911796091298021,0,0.77360426413469,0.873313884012968,0.87973527916424,0.492838911377165,0.618509889082348,0.475872523643557,0.943621531620214,0.950909840707604
"LZ",0.8388546880776,0.77360426413469,0,0.89528465188798,0.898157370788415,0.743535454826465,0.716244530197146,0.74685384210587,0.979895068205666,0.960298306101034
"LP",0.771172366007813,0.873313884012968,0.89528465188798,0,0.553422755552831,0.671404243726836,0.592930000790497,0.755197141831894,0.731649556270708,0.602610957923517
"MG",0.913547420172905,0.87973527916424,0.898157370788415,0.553422755552831,0,0.708499684155704,0.597363107516168,0.786230548433061,0.92412452471474,0.42470032631671
"EC",0.820445203939057,0.492838911377165,0.743535454826465,0.671404243726836,0.708499684155704,0,0.465926429157286,0.320486689989441,0.774150483966518,0.856448970839369
"ER",0.81708643172016,0.618509889082348,0.716244530197146,0.592930000790497,0.597363107516168,0.465926429157286,0,0.506685572883923,0.891472358242509,0.696855326250583
"TU",0.891718864318927,0.475872523643557,0.74685384210587,0.755197141831894,0.786230548433061,0.320486689989441,0.506685572883923,0,0.854756384645661,0.892639184904091
"SF",0.769080480056971,0.943621531620214,0.979895068205666,0.731649556270708,0.92412452471474,0.774150483966518,0.891472358242509,0.854756384645661,0,0.837662337662338
"RA",0.867810367442272,0.950909840707604,0.960298306101034,0.602610957923517,0.42470032631671,0.856448970839369,0.696855326250583,0.892639184904091,0.837662337662338,0
