"","CP","EC","ER","LP","LZ","MG","RA","SF","SM","TU"
"CP",1,0.979649673830737,0.798919297236215,0.994700972453779,0.968925616717401,0.90220859874161,0.904978311477197,0.649661510190992,0.996088201315432,0.208882366344379
"EC",0.979649673830737,1,0.673568384044605,0.995068282991395,0.99884020520751,0.969717765720128,0.97130519255351,0.50884817174737,0.958269689184817,0.105936167806309
"ER",0.798919297236215,0.673568384044605,1,0.737552938984016,0.641246316669406,0.502349754924446,0.507041719461926,0.971905355780994,0.846619116807158,0.651823908227774
"LP",0.994700972453779,0.995068282991395,0.737552938984016,1,0.989151292601407,0.941075842033141,0.943266246242807,0.578802731412483,0.981766806439743,0.152941317636215
"LZ",0.968925616717401,0.99884020520751,0.641246316669406,0.989151292601407,1,0.980293225933029,0.981576399325477,0.47479697193255,0.943594179892988,0.0859006709338328
"MG",0.90220859874161,0.969717765720128,0.502349754924446,0.941075842033141,0.980293225933029,1,0.999977983526888,0.336976287973694,0.861979213938149,0.0243265873199446
"RA",0.904978311477197,0.97130519255351,0.507041719461926,0.943266246242807,0.981576399325477,0.999977983526888,1,0.341419177876702,0.865200103761442,0.0257932783525893
"SF",0.649661510190992,0.50884817174737,0.971905355780994,0.578802731412483,0.47479697193255,0.336976287973694,0.341419177876702,1,0.708050611680418,0.800734222314601
"SM",0.996088201315432,0.958269689184817,0.846619116807158,0.981766806439743,0.943594179892988,0.861979213938149,0.865200103761442,0.708050611680418,1,0.261910247625724
"TU",0.208882366344379,0.105936167806309,0.651823908227774,0.152941317636215,0.0859006709338328,0.0243265873199447,0.0257932783525893,0.800734222314601,0.261910247625724,1
