Population	Parameter	estimates	SE	P.value	Long	Lat
CP	B-zcrop	0.657	0.105	0.000	-57.2	-28.5
CP	B-zdiam	0.052	0.124	0.554	-57.2	-28.5
CP	G-zcrop	0.228	0.171	0.036	-57.2	-28.5
CP	G-zdiam	0.003	0.030	0.004	-57.2	-28.5
CP	G-zcrop-zdiam	0.035	0.085	0.554	-57.2	-28.5
EC	B-zcrop	0.198	0.324	0.510	-65.3	-24.4
EC	B-zdiam	-0.014	0.314	0.998	-65.3	-24.4
EC	G-zcrop	0.039	0.287	0.002	-65.3	-24.4
EC	G-zdiam	0.000	0.150	0.002	-65.3	-24.4
EC	G-zcrop-zdiam	-0.003	0.129	0.904	-65.3	-24.4
ER	B-zcrop	0.826	0.206	0.008	-65.9	-28.2
ER	B-zdiam	0.289	0.170	0.082	-65.9	-28.2
ER	G-zcrop	0.050	0.274	0.304	-65.9	-28.2
ER	G-zdiam	0.083	0.110	0.006	-65.9	-28.2
ER	G-zcrop-zdiam	0.239	0.113	0.090	-65.9	-28.2
LZ	B-zcrop	0.754	0.089	0.000	-59.6	-30.7
LZ	B-zdiam	-0.021	0.132	0.816	-59.6	-30.7
LZ	G-zcrop	0.464	0.122	0.000	-59.6	-30.7
LZ	G-zdiam	0.000	0.025	0.008	-59.6	-30.7
LZ	G-zcrop-zdiam	-0.016	0.095	0.816	-59.6	-30.7
LP	B-zcrop	1.290	0.336	0.000	-57.9	-34.9
LP	B-zdiam	0.127	0.242	0.540	-57.9	-34.9
LP	G-zcrop	2.163	1.014	0.004	-57.9	-34.9
LP	G-zdiam	0.016	0.113	0.002	-57.9	-34.9
LP	G-zcrop-zdiam	0.164	0.334	0.540	-57.9	-34.9
MG	B-zcrop	1.290	0.346	0.000	-57.4	-35.1
MG	B-zdiam	0.127	0.238	0.518	-57.4	-35.1
MG	G-zcrop	2.163	1.031	0.002	-57.4	-35.1
MG	G-zdiam	0.016	0.108	0.000	-57.4	-35.1
MG	G-zcrop-zdiam	0.164	0.339	0.518	-57.4	-35.1
RA	B-zcrop	0.996	0.266	0.002	-58.3	-35.5
RA	B-zdiam	-0.066	0.310	0.820	-58.3	-35.5
RA	G-zcrop	0.375	0.594	0.400	-58.3	-35.5
RA	G-zdiam	0.004	0.150	0.020	-58.3	-35.5
RA	G-zcrop-zdiam	-0.065	0.321	0.822	-58.3	-35.5
SF	B-zcrop	0.783	0.062	0.000	-60.7	-31.6
SF	B-zdiam	0.154	0.099	0.206	-60.7	-31.6
SF	G-zcrop	0.177	0.125	0.032	-60.7	-31.6
SF	G-zdiam	0.159	0.080	0.238	-60.7	-31.6
SF	G-zcrop-zdiam	0.128	0.072	0.206	-60.7	-31.6
SM	B-zcrop	0.672	0.226	0.000	-60.4	-31.7
SM	B-zdiam	0.127	0.192	0.546	-60.4	-31.7
SM	G-zcrop	0.536	0.580	0.466	-60.4	-31.7
SM	G-zdiam	0.235	0.218	0.666	-60.4	-31.7
SM	G-zcrop-zdiam	0.102	0.143	0.568	-60.4	-31.7
TU	B-zcrop	0.305	0.598	0.606	-65.3	-26.8
TU	B-zdiam	0.887	0.605	0.086	-65.3	-26.8
TU	G-zcrop	0.093	0.883	0.000	-65.3	-26.8
TU	G-zdiam	0.787	1.458	0.004	-65.3	-26.8
TU	G-zcrop-zdiam	0.271	0.921	0.620	-65.3	-26.8
