"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"N_actual[1,1]",2.50766666666667,4.36875976631426,0,0,0,4,15,1.15290986979966,36
"N_actual[2,1]",1.88611111111111,4.35363472698675,0,0,0,2,17,1.39665876791061,15
"N_actual[3,1]",0.557555555555556,1.52536017407485,0,0,0,0,5,1.04942893097882,260
"N_actual[4,1]",0.438111111111111,1.21330586049483,0,0,0,0,4,1.00556530224087,7700
"N_actual[5,1]",4.40122222222222,4.48996840340057,1,2,3,5,19,1.36221907182842,10
"N_actual[6,1]",0.639,1.56036127324209,0,0,0,0,6,1.02548937834221,740
"N_actual[7,1]",4.01788888888889,4.40001868750248,1,1,3,5,18,1.3455959341994,10
"N_actual[8,1]",1.94155555555556,4.28267309452424,0,0,0,2,17,1.39853884128728,15
"N_actual[9,1]",10.0441111111111,10.9270758967323,1,3,7,12,43,1.36046345115951,9
"N_actual[10,1]",4.713,13.8737488321036,0,0,0,0,48,1.02460866991971,300
"N_actual[11,1]",1.06455555555556,2.03899895752169,0,0,0,1,7,1.10519724818571,92
"N_actual[12,1]",0.546,1.43585118652587,0,0,0,0,5,1.00174689436538,2800
"N_actual[13,1]",0.154888888888889,0.724538922007828,0,0,0,0,2,1.02347865462281,940
"N_actual[14,1]",2.123,4.46428753632906,0,0,0,2,17,1.4081341815311,14
"N_actual[15,1]",0.309888888888889,1.25981952120642,0,0,0,0,4,1.05044861030518,540
"N_actual[16,1]",0.738888888888889,1.88408358684154,0,0,0,0,6,1.11537036596719,120
"N_actual[17,1]",0.225222222222222,0.908313430292234,0,0,0,0,3,1.01544024137309,1100
"N_actual[18,1]",24.5302222222222,28.0097132429915,2,7,16,31,103,1.27814280678352,11
"N_actual[19,1]",1.30088888888889,4.25144769717604,0,0,0,0,17,1.40478534430566,16
"N_actual[20,1]",1.06766666666667,2.03682595285361,0,0,0,1,7,1.08871721299795,91
"N_actual[21,1]",0,0,0,0,0,0,0,1,1
"N_actual[22,1]",0,0,0,0,0,0,0,1,1
"N_actual[23,1]",0,0,0,0,0,0,0,1,1
"N_actual[24,1]",0,0,0,0,0,0,0,1,1
"N_actual[25,1]",0,0,0,0,0,0,0,1,1
"N_actual[26,1]",0,0,0,0,0,0,0,1,1
"N_actual[27,1]",0,0,0,0,0,0,0,1,1
"N_actual[28,1]",0,0,0,0,0,0,0,1,1
"N_actual[29,1]",0,0,0,0,0,0,0,1,1
